,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,辽宁省,210000,抚顺市,210400,-13.6336391818
1,20010102,辽宁省,210000,抚顺市,210400,-18.3617859502
2,20010103,辽宁省,210000,抚顺市,210400,-18.2303801506
3,20010104,辽宁省,210000,抚顺市,210400,-21.3943869068
4,20010105,辽宁省,210000,抚顺市,210400,-20.9734216505
5,20010106,辽宁省,210000,抚顺市,210400,-14.2891751259
6,20010107,辽宁省,210000,抚顺市,210400,-10.56470268
7,20010108,辽宁省,210000,抚顺市,210400,-10.050777989
8,20010109,辽宁省,210000,抚顺市,210400,-18.1009874652
9,20010110,辽宁省,210000,抚顺市,210400,-22.709653116
10,20010111,辽宁省,210000,抚顺市,210400,-27.2532935604
11,20010112,辽宁省,210000,抚顺市,210400,-25.8157853157
12,20010113,辽宁省,210000,抚顺市,210400,-27.8931686032
13,20010114,辽宁省,210000,抚顺市,210400,-28.6506503321
14,20010115,辽宁省,210000,抚顺市,210400,-27.4498568504
15,20010116,辽宁省,210000,抚顺市,210400,-24.2737221872
16,20010117,辽宁省,210000,抚顺市,210400,-15.6453371663
17,20010118,辽宁省,210000,抚顺市,210400,-16.7334054824
18,20010119,辽宁省,210000,抚顺市,210400,-16.0991981876
19,20010120,辽宁省,210000,抚顺市,210400,-16.2145026422
20,20010121,辽宁省,210000,抚顺市,210400,-17.2727141226
21,20010122,辽宁省,210000,抚顺市,210400,-17.3306913376
22,20010123,辽宁省,210000,抚顺市,210400,-15.1925842531
23,20010124,辽宁省,210000,抚顺市,210400,-12.481673456
24,20010125,辽宁省,210000,抚顺市,210400,-13.1604318311
25,20010126,辽宁省,210000,抚顺市,210400,-9.27580618089
26,20010127,辽宁省,210000,抚顺市,210400,-9.44362314286
27,20010128,辽宁省,210000,抚顺市,210400,-14.859395827
28,20010129,辽宁省,210000,抚顺市,210400,-14.1148217109
29,20010130,辽宁省,210000,抚顺市,210400,-9.2424921528
30,20010131,辽宁省,210000,抚顺市,210400,-9.25039285229
31,20010201,辽宁省,210000,抚顺市,210400,-17.0122975688
32,20010202,辽宁省,210000,抚顺市,210400,-18.9879764434
33,20010203,辽宁省,210000,抚顺市,210400,-20.5151300123
34,20010204,辽宁省,210000,抚顺市,210400,-17.5740070343
35,20010205,辽宁省,210000,抚顺市,210400,-17.3752364805
36,20010206,辽宁省,210000,抚顺市,210400,-19.6157696632
37,20010207,辽宁省,210000,抚顺市,210400,-19.2595260374
38,20010208,辽宁省,210000,抚顺市,210400,-12.0279715753
39,20010209,辽宁省,210000,抚顺市,210400,-10.6932174621
40,20010210,辽宁省,210000,抚顺市,210400,-17.6451912542
41,20010211,辽宁省,210000,抚顺市,210400,-18.7139264999
42,20010212,辽宁省,210000,抚顺市,210400,-15.6595059979
43,20010213,辽宁省,210000,抚顺市,210400,-15.4364022286
44,20010214,辽宁省,210000,抚顺市,210400,-14.290092499
45,20010215,辽宁省,210000,抚顺市,210400,-14.0776742504
46,20010216,辽宁省,210000,抚顺市,210400,-11.2690966206
47,20010217,辽宁省,210000,抚顺市,210400,-2.6132704231
48,20010218,辽宁省,210000,抚顺市,210400,-0.972229254823
49,20010219,辽宁省,210000,抚顺市,210400,-3.45872642148
50,20010220,辽宁省,210000,抚顺市,210400,1.53377078618
51,20010221,辽宁省,210000,抚顺市,210400,0.739159167774
52,20010222,辽宁省,210000,抚顺市,210400,-3.27939814906
53,20010223,辽宁省,210000,抚顺市,210400,-7.12216806412
54,20010224,辽宁省,210000,抚顺市,210400,-8.11104174583
55,20010225,辽宁省,210000,抚顺市,210400,-5.89147214736
56,20010226,辽宁省,210000,抚顺市,210400,0.723092399628
57,20010227,辽宁省,210000,抚顺市,210400,0.173203552983
58,20010228,辽宁省,210000,抚顺市,210400,0.0521446306619
59,20010301,辽宁省,210000,抚顺市,210400,-0.204629582713
60,20010302,辽宁省,210000,抚顺市,210400,1.66901435391
61,20010303,辽宁省,210000,抚顺市,210400,-4.02216672897
62,20010304,辽宁省,210000,抚顺市,210400,-7.3737564856
63,20010305,辽宁省,210000,抚顺市,210400,-3.78756298557
64,20010306,辽宁省,210000,抚顺市,210400,-8.7043661456
65,20010307,辽宁省,210000,抚顺市,210400,-10.8809333924
66,20010308,辽宁省,210000,抚顺市,210400,-10.5020279115
67,20010309,辽宁省,210000,抚顺市,210400,-10.3746127159
68,20010310,辽宁省,210000,抚顺市,210400,-8.90728215248
69,20010311,辽宁省,210000,抚顺市,210400,-5.73187660402
70,20010312,辽宁省,210000,抚顺市,210400,-1.5151145755
71,20010313,辽宁省,210000,抚顺市,210400,5.19363011083
72,20010314,辽宁省,210000,抚顺市,210400,-5.03715135205
73,20010315,辽宁省,210000,抚顺市,210400,-3.03974859945
74,20010316,辽宁省,210000,抚顺市,210400,2.45029514836
75,20010317,辽宁省,210000,抚顺市,210400,4.5868880518
76,20010318,辽宁省,210000,抚顺市,210400,6.38844713088
77,20010319,辽宁省,210000,抚顺市,210400,9.2072449961
78,20010320,辽宁省,210000,抚顺市,210400,2.06525384995
79,20010321,辽宁省,210000,抚顺市,210400,5.72516970481
80,20010322,辽宁省,210000,抚顺市,210400,0.793902538957
81,20010323,辽宁省,210000,抚顺市,210400,4.76420373301
82,20010324,辽宁省,210000,抚顺市,210400,3.92800495701
83,20010325,辽宁省,210000,抚顺市,210400,-1.66751477218
84,20010326,辽宁省,210000,抚顺市,210400,-3.11516313399
85,20010327,辽宁省,210000,抚顺市,210400,-1.27807316665
86,20010328,辽宁省,210000,抚顺市,210400,-0.0505429483169
87,20010329,辽宁省,210000,抚顺市,210400,-0.333801963077
88,20010330,辽宁省,210000,抚顺市,210400,0.306978950277
89,20010331,辽宁省,210000,抚顺市,210400,3.05810503806
90,20010401,辽宁省,210000,抚顺市,210400,7.90279051565
91,20010402,辽宁省,210000,抚顺市,210400,4.28910366181
92,20010403,辽宁省,210000,抚顺市,210400,4.7058344195
93,20010404,辽宁省,210000,抚顺市,210400,9.70262342884
94,20010405,辽宁省,210000,抚顺市,210400,5.86852129044
95,20010406,辽宁省,210000,抚顺市,210400,8.11811050292
96,20010407,辽宁省,210000,抚顺市,210400,10.1740588834
97,20010408,辽宁省,210000,抚顺市,210400,11.9746808083
98,20010409,辽宁省,210000,抚顺市,210400,12.621799469
99,20010410,辽宁省,210000,抚顺市,210400,7.84321774206
100,20010411,辽宁省,210000,抚顺市,210400,5.21142845769
101,20010412,辽宁省,210000,抚顺市,210400,6.26883216058
102,20010413,辽宁省,210000,抚顺市,210400,7.02790104958
103,20010414,辽宁省,210000,抚顺市,210400,10.4378735327
104,20010415,辽宁省,210000,抚顺市,210400,14.4717030679
105,20010416,辽宁省,210000,抚顺市,210400,15.9057379384
106,20010417,辽宁省,210000,抚顺市,210400,18.2395944903
107,20010418,辽宁省,210000,抚顺市,210400,16.1989878378
108,20010419,辽宁省,210000,抚顺市,210400,5.00753659587
109,20010420,辽宁省,210000,抚顺市,210400,9.17192437572
110,20010421,辽宁省,210000,抚顺市,210400,7.09253285008
111,20010422,辽宁省,210000,抚顺市,210400,13.0246746925
112,20010423,辽宁省,210000,抚顺市,210400,8.63643075574
113,20010424,辽宁省,210000,抚顺市,210400,9.16639758695
114,20010425,辽宁省,210000,抚顺市,210400,10.7490749974
115,20010426,辽宁省,210000,抚顺市,210400,15.4002637248
116,20010427,辽宁省,210000,抚顺市,210400,14.7690000842
117,20010428,辽宁省,210000,抚顺市,210400,14.5204137371
118,20010429,辽宁省,210000,抚顺市,210400,18.2430387928
119,20010430,辽宁省,210000,抚顺市,210400,14.1168889076
120,20010501,辽宁省,210000,抚顺市,210400,15.7522213536
121,20010502,辽宁省,210000,抚顺市,210400,16.2829856257
122,20010503,辽宁省,210000,抚顺市,210400,16.385022348
123,20010504,辽宁省,210000,抚顺市,210400,14.1291447609
124,20010505,辽宁省,210000,抚顺市,210400,14.3271514831
125,20010506,辽宁省,210000,抚顺市,210400,10.8658542941
126,20010507,辽宁省,210000,抚顺市,210400,14.5963661748
127,20010508,辽宁省,210000,抚顺市,210400,12.3383785986
128,20010509,辽宁省,210000,抚顺市,210400,11.2428948187
129,20010510,辽宁省,210000,抚顺市,210400,11.2369107277
130,20010511,辽宁省,210000,抚顺市,210400,16.6488910798
131,20010512,辽宁省,210000,抚顺市,210400,21.7456524757
132,20010513,辽宁省,210000,抚顺市,210400,23.7142742526
133,20010514,辽宁省,210000,抚顺市,210400,20.3132356828
134,20010515,辽宁省,210000,抚顺市,210400,12.6713914564
135,20010516,辽宁省,210000,抚顺市,210400,18.668231718
136,20010517,辽宁省,210000,抚顺市,210400,22.4089520362
137,20010518,辽宁省,210000,抚顺市,210400,17.1276149134
138,20010519,辽宁省,210000,抚顺市,210400,22.4703170407
139,20010520,辽宁省,210000,抚顺市,210400,24.30499083
140,20010521,辽宁省,210000,抚顺市,210400,23.7434321373
141,20010522,辽宁省,210000,抚顺市,210400,24.1503056557
142,20010523,辽宁省,210000,抚顺市,210400,24.5279819735
143,20010524,辽宁省,210000,抚顺市,210400,21.4441394806
144,20010525,辽宁省,210000,抚顺市,210400,14.6020086965
145,20010526,辽宁省,210000,抚顺市,210400,17.746538839
146,20010527,辽宁省,210000,抚顺市,210400,21.6905891665
147,20010528,辽宁省,210000,抚顺市,210400,23.2035088693
148,20010529,辽宁省,210000,抚顺市,210400,14.9618338
149,20010530,辽宁省,210000,抚顺市,210400,16.354394882
150,20010531,辽宁省,210000,抚顺市,210400,18.5189720892
151,20010601,辽宁省,210000,抚顺市,210400,19.4424969458
152,20010602,辽宁省,210000,抚顺市,210400,23.4847462562
153,20010603,辽宁省,210000,抚顺市,210400,26.5021786228
154,20010604,辽宁省,210000,抚顺市,210400,27.648772332
155,20010605,辽宁省,210000,抚顺市,210400,27.065349948
156,20010606,辽宁省,210000,抚顺市,210400,24.6354256292
157,20010607,辽宁省,210000,抚顺市,210400,23.9962232036
158,20010608,辽宁省,210000,抚顺市,210400,24.7074843991
159,20010609,辽宁省,210000,抚顺市,210400,22.4127442145
160,20010610,辽宁省,210000,抚顺市,210400,23.866902013
161,20010611,辽宁省,210000,抚顺市,210400,20.5285929403
162,20010612,辽宁省,210000,抚顺市,210400,23.5870797557
163,20010613,辽宁省,210000,抚顺市,210400,20.6574871309
164,20010614,辽宁省,210000,抚顺市,210400,20.6212945138
165,20010615,辽宁省,210000,抚顺市,210400,20.4529403563
166,20010616,辽宁省,210000,抚顺市,210400,20.0673134096
167,20010617,辽宁省,210000,抚顺市,210400,18.628809652
168,20010618,辽宁省,210000,抚顺市,210400,21.8449034537
169,20010619,辽宁省,210000,抚顺市,210400,19.8964982187
170,20010620,辽宁省,210000,抚顺市,210400,21.9048123513
171,20010621,辽宁省,210000,抚顺市,210400,20.6904570057
172,20010622,辽宁省,210000,抚顺市,210400,19.6762073271
173,20010623,辽宁省,210000,抚顺市,210400,23.1913531519
174,20010624,辽宁省,210000,抚顺市,210400,23.3109420653
175,20010625,辽宁省,210000,抚顺市,210400,24.4787739784
176,20010626,辽宁省,210000,抚顺市,210400,24.4167204826
177,20010627,辽宁省,210000,抚顺市,210400,24.9590697135
178,20010628,辽宁省,210000,抚顺市,210400,23.3698547732
179,20010629,辽宁省,210000,抚顺市,210400,23.5429950837
180,20010630,辽宁省,210000,抚顺市,210400,22.4592817983
181,20010701,辽宁省,210000,抚顺市,210400,25.1144830642
182,20010702,辽宁省,210000,抚顺市,210400,25.8454591074
183,20010703,辽宁省,210000,抚顺市,210400,25.3376120906
184,20010704,辽宁省,210000,抚顺市,210400,20.1020243245
185,20010705,辽宁省,210000,抚顺市,210400,24.4609508514
186,20010706,辽宁省,210000,抚顺市,210400,25.4231062858
187,20010707,辽宁省,210000,抚顺市,210400,25.8761797874
188,20010708,辽宁省,210000,抚顺市,210400,25.1066829312
189,20010709,辽宁省,210000,抚顺市,210400,21.8162721818
190,20010710,辽宁省,210000,抚顺市,210400,24.9427366564
191,20010711,辽宁省,210000,抚顺市,210400,23.965153848
192,20010712,辽宁省,210000,抚顺市,210400,22.9359829195
193,20010713,辽宁省,210000,抚顺市,210400,23.9770619792
194,20010714,辽宁省,210000,抚顺市,210400,24.7512656181
195,20010715,辽宁省,210000,抚顺市,210400,24.3767008012
196,20010716,辽宁省,210000,抚顺市,210400,24.6375015628
197,20010717,辽宁省,210000,抚顺市,210400,26.502034095
198,20010718,辽宁省,210000,抚顺市,210400,27.3507334801
199,20010719,辽宁省,210000,抚顺市,210400,24.8158958189
200,20010720,辽宁省,210000,抚顺市,210400,25.2958270042
201,20010721,辽宁省,210000,抚顺市,210400,24.1016052615
202,20010722,辽宁省,210000,抚顺市,210400,23.3522925838
203,20010723,辽宁省,210000,抚顺市,210400,24.9075703159
204,20010724,辽宁省,210000,抚顺市,210400,26.6607963808
205,20010725,辽宁省,210000,抚顺市,210400,25.6184016197
206,20010726,辽宁省,210000,抚顺市,210400,25.0125128838
207,20010727,辽宁省,210000,抚顺市,210400,24.4315981096
208,20010728,辽宁省,210000,抚顺市,210400,21.1527093457
209,20010729,辽宁省,210000,抚顺市,210400,24.5990320021
210,20010730,辽宁省,210000,抚顺市,210400,24.878363394
211,20010731,辽宁省,210000,抚顺市,210400,23.262676116
212,20010801,辽宁省,210000,抚顺市,210400,25.2390704616
213,20010802,辽宁省,210000,抚顺市,210400,22.3351401667
214,20010803,辽宁省,210000,抚顺市,210400,26.3295429599
215,20010804,辽宁省,210000,抚顺市,210400,24.0132849909
216,20010805,辽宁省,210000,抚顺市,210400,24.2207094008
217,20010806,辽宁省,210000,抚顺市,210400,22.8119266264
218,20010807,辽宁省,210000,抚顺市,210400,21.2553180572
219,20010808,辽宁省,210000,抚顺市,210400,20.8793952081
220,20010809,辽宁省,210000,抚顺市,210400,22.0620485121
221,20010810,辽宁省,210000,抚顺市,210400,22.1126584084
222,20010811,辽宁省,210000,抚顺市,210400,20.9436852855
223,20010812,辽宁省,210000,抚顺市,210400,24.6812282685
224,20010813,辽宁省,210000,抚顺市,210400,23.8181299394
225,20010814,辽宁省,210000,抚顺市,210400,22.0861583833
226,20010815,辽宁省,210000,抚顺市,210400,23.8393328882
227,20010816,辽宁省,210000,抚顺市,210400,22.8405041233
228,20010817,辽宁省,210000,抚顺市,210400,22.6476127255
229,20010818,辽宁省,210000,抚顺市,210400,25.1018919176
230,20010819,辽宁省,210000,抚顺市,210400,25.5167601801
231,20010820,辽宁省,210000,抚顺市,210400,22.6716134471
232,20010821,辽宁省,210000,抚顺市,210400,22.9959791245
233,20010822,辽宁省,210000,抚顺市,210400,21.6385129498
234,20010823,辽宁省,210000,抚顺市,210400,21.1589136431
235,20010824,辽宁省,210000,抚顺市,210400,18.3988920027
236,20010825,辽宁省,210000,抚顺市,210400,19.104335908
237,20010826,辽宁省,210000,抚顺市,210400,19.4115401237
238,20010827,辽宁省,210000,抚顺市,210400,20.6627646415
239,20010828,辽宁省,210000,抚顺市,210400,20.4575274068
240,20010829,辽宁省,210000,抚顺市,210400,21.0146110904
241,20010830,辽宁省,210000,抚顺市,210400,21.2151205617
242,20010831,辽宁省,210000,抚顺市,210400,21.3623000114
243,20010901,辽宁省,210000,抚顺市,210400,21.8823738713
244,20010902,辽宁省,210000,抚顺市,210400,22.9758866833
245,20010903,辽宁省,210000,抚顺市,210400,23.6958453271
246,20010904,辽宁省,210000,抚顺市,210400,22.8471131479
247,20010905,辽宁省,210000,抚顺市,210400,19.2578177298
248,20010906,辽宁省,210000,抚顺市,210400,18.6228472802
249,20010907,辽宁省,210000,抚顺市,210400,19.7936500426
250,20010908,辽宁省,210000,抚顺市,210400,21.4643611908
251,20010909,辽宁省,210000,抚顺市,210400,18.2301363791
252,20010910,辽宁省,210000,抚顺市,210400,18.4364329307
253,20010911,辽宁省,210000,抚顺市,210400,19.0738934548
254,20010912,辽宁省,210000,抚顺市,210400,20.3222567035
255,20010913,辽宁省,210000,抚顺市,210400,20.9487597558
256,20010914,辽宁省,210000,抚顺市,210400,20.781802885
257,20010915,辽宁省,210000,抚顺市,210400,20.8918853883
258,20010916,辽宁省,210000,抚顺市,210400,19.1160635794
259,20010917,辽宁省,210000,抚顺市,210400,16.7352477043
260,20010918,辽宁省,210000,抚顺市,210400,13.3328909413
261,20010919,辽宁省,210000,抚顺市,210400,13.5652548575
262,20010920,辽宁省,210000,抚顺市,210400,12.7332373896
263,20010921,辽宁省,210000,抚顺市,210400,9.22630745365
264,20010922,辽宁省,210000,抚顺市,210400,15.4719551456
265,20010923,辽宁省,210000,抚顺市,210400,14.5875823421
266,20010924,辽宁省,210000,抚顺市,210400,12.8904281739
267,20010925,辽宁省,210000,抚顺市,210400,13.7523989831
268,20010926,辽宁省,210000,抚顺市,210400,15.7034001197
269,20010927,辽宁省,210000,抚顺市,210400,12.0400987748
270,20010928,辽宁省,210000,抚顺市,210400,13.3147478104
271,20010929,辽宁省,210000,抚顺市,210400,14.812539962
272,20010930,辽宁省,210000,抚顺市,210400,14.8690784824
273,20011001,辽宁省,210000,抚顺市,210400,14.8821829211
274,20011002,辽宁省,210000,抚顺市,210400,16.019108803
275,20011003,辽宁省,210000,抚顺市,210400,8.43818216939
276,20011004,辽宁省,210000,抚顺市,210400,5.06412373051
277,20011005,辽宁省,210000,抚顺市,210400,8.55667058883
278,20011006,辽宁省,210000,抚顺市,210400,11.9133719475
279,20011007,辽宁省,210000,抚顺市,210400,13.1810456245
280,20011008,辽宁省,210000,抚顺市,210400,15.1976263908
281,20011009,辽宁省,210000,抚顺市,210400,15.0581928376
282,20011010,辽宁省,210000,抚顺市,210400,13.0802722439
283,20011011,辽宁省,210000,抚顺市,210400,11.6529001421
284,20011012,辽宁省,210000,抚顺市,210400,11.0894401919
285,20011013,辽宁省,210000,抚顺市,210400,11.392541547
286,20011014,辽宁省,210000,抚顺市,210400,11.8210404304
287,20011015,辽宁省,210000,抚顺市,210400,12.2462718718
288,20011016,辽宁省,210000,抚顺市,210400,5.41160575805
289,20011017,辽宁省,210000,抚顺市,210400,3.08052759786
290,20011018,辽宁省,210000,抚顺市,210400,9.09660256294
291,20011019,辽宁省,210000,抚顺市,210400,12.0596277175
292,20011020,辽宁省,210000,抚顺市,210400,14.4447711514
293,20011021,辽宁省,210000,抚顺市,210400,14.1682885078
294,20011022,辽宁省,210000,抚顺市,210400,12.0722108349
295,20011023,辽宁省,210000,抚顺市,210400,12.63902415
296,20011024,辽宁省,210000,抚顺市,210400,8.77159773919
297,20011025,辽宁省,210000,抚顺市,210400,10.4262366449
298,20011026,辽宁省,210000,抚顺市,210400,10.5933524716
299,20011027,辽宁省,210000,抚顺市,210400,11.0786559197
300,20011028,辽宁省,210000,抚顺市,210400,4.15602137196
301,20011029,辽宁省,210000,抚顺市,210400,6.45830505125
302,20011030,辽宁省,210000,抚顺市,210400,11.9165282711
303,20011031,辽宁省,210000,抚顺市,210400,5.29728294188
304,20011101,辽宁省,210000,抚顺市,210400,0.248029022327
305,20011102,辽宁省,210000,抚顺市,210400,2.85414452707
306,20011103,辽宁省,210000,抚顺市,210400,-1.99166942412
307,20011104,辽宁省,210000,抚顺市,210400,0.872930138342
308,20011105,辽宁省,210000,抚顺市,210400,-1.58194383114
309,20011106,辽宁省,210000,抚顺市,210400,-2.11395535354
310,20011107,辽宁省,210000,抚顺市,210400,4.9793607035
311,20011108,辽宁省,210000,抚顺市,210400,2.52031861582
312,20011109,辽宁省,210000,抚顺市,210400,1.2725102988
313,20011110,辽宁省,210000,抚顺市,210400,5.62310950987
314,20011111,辽宁省,210000,抚顺市,210400,0.134584899271
315,20011112,辽宁省,210000,抚顺市,210400,-4.16809610398
316,20011113,辽宁省,210000,抚顺市,210400,-4.32399603628
317,20011114,辽宁省,210000,抚顺市,210400,-3.74239812359
318,20011115,辽宁省,210000,抚顺市,210400,-1.67188646614
319,20011116,辽宁省,210000,抚顺市,210400,0.454572670763
320,20011117,辽宁省,210000,抚顺市,210400,-0.0569392591715
321,20011118,辽宁省,210000,抚顺市,210400,1.72466255003
322,20011119,辽宁省,210000,抚顺市,210400,2.26740728271
323,20011120,辽宁省,210000,抚顺市,210400,3.42095366601
324,20011121,辽宁省,210000,抚顺市,210400,3.67459233346
325,20011122,辽宁省,210000,抚顺市,210400,5.85213533525
326,20011123,辽宁省,210000,抚顺市,210400,8.44365478331
327,20011124,辽宁省,210000,抚顺市,210400,-1.14674491583
328,20011125,辽宁省,210000,抚顺市,210400,-7.02456477381
329,20011126,辽宁省,210000,抚顺市,210400,-9.81658021865
330,20011127,辽宁省,210000,抚顺市,210400,-5.27595052411
331,20011128,辽宁省,210000,抚顺市,210400,-2.99981098406
332,20011129,辽宁省,210000,抚顺市,210400,-5.29898818847
333,20011130,辽宁省,210000,抚顺市,210400,-7.94875521814
334,20011201,辽宁省,210000,抚顺市,210400,-8.76989426151
335,20011202,辽宁省,210000,抚顺市,210400,-5.72432688744
336,20011203,辽宁省,210000,抚顺市,210400,-8.75616924224
337,20011204,辽宁省,210000,抚顺市,210400,-9.66046720935
338,20011205,辽宁省,210000,抚顺市,210400,-9.67994585345
339,20011206,辽宁省,210000,抚顺市,210400,-10.5651106681
340,20011207,辽宁省,210000,抚顺市,210400,-5.94584951862
341,20011208,辽宁省,210000,抚顺市,210400,-5.87865315714
342,20011209,辽宁省,210000,抚顺市,210400,-9.96472524828
343,20011210,辽宁省,210000,抚顺市,210400,-10.8453192865
344,20011211,辽宁省,210000,抚顺市,210400,-8.1268629874
345,20011212,辽宁省,210000,抚顺市,210400,-6.06656994358
346,20011213,辽宁省,210000,抚顺市,210400,-12.2192997471
347,20011214,辽宁省,210000,抚顺市,210400,-13.900353001
348,20011215,辽宁省,210000,抚顺市,210400,-14.9172478953
349,20011216,辽宁省,210000,抚顺市,210400,-14.5614361609
350,20011217,辽宁省,210000,抚顺市,210400,-17.076446041
351,20011218,辽宁省,210000,抚顺市,210400,-16.4287135524
352,20011219,辽宁省,210000,抚顺市,210400,-15.7655623651
353,20011220,辽宁省,210000,抚顺市,210400,-10.8914934589
354,20011221,辽宁省,210000,抚顺市,210400,-12.6344769386
355,20011222,辽宁省,210000,抚顺市,210400,-13.3366368201
356,20011223,辽宁省,210000,抚顺市,210400,-11.1340032393
357,20011224,辽宁省,210000,抚顺市,210400,-12.7769860298
358,20011225,辽宁省,210000,抚顺市,210400,-13.378929292
359,20011226,辽宁省,210000,抚顺市,210400,-13.5685482025
360,20011227,辽宁省,210000,抚顺市,210400,-13.3565075167
361,20011228,辽宁省,210000,抚顺市,210400,-6.40261093263
362,20011229,辽宁省,210000,抚顺市,210400,-9.79139540272
363,20011230,辽宁省,210000,抚顺市,210400,-12.2005943175
364,20011231,辽宁省,210000,抚顺市,210400,-12.1368958565
365,20020101,辽宁省,210000,抚顺市,210400,-17.1970108709
366,20020102,辽宁省,210000,抚顺市,210400,-18.7185018601
367,20020103,辽宁省,210000,抚顺市,210400,-10.2680863411
368,20020104,辽宁省,210000,抚顺市,210400,-6.05243598261
369,20020105,辽宁省,210000,抚顺市,210400,-11.5310483133
370,20020106,辽宁省,210000,抚顺市,210400,-6.97062680029
371,20020107,辽宁省,210000,抚顺市,210400,-12.6951615426
372,20020108,辽宁省,210000,抚顺市,210400,-16.1770001688
373,20020109,辽宁省,210000,抚顺市,210400,-9.48636914838
374,20020110,辽宁省,210000,抚顺市,210400,-3.178019116
375,20020111,辽宁省,210000,抚顺市,210400,-1.88134822538
376,20020112,辽宁省,210000,抚顺市,210400,-4.71312446748
377,20020113,辽宁省,210000,抚顺市,210400,-3.56332932749
378,20020114,辽宁省,210000,抚顺市,210400,1.28378754277
379,20020115,辽宁省,210000,抚顺市,210400,-4.36965090229
380,20020116,辽宁省,210000,抚顺市,210400,-10.8455013152
381,20020117,辽宁省,210000,抚顺市,210400,-11.2655812233
382,20020118,辽宁省,210000,抚顺市,210400,-8.95761377581
383,20020119,辽宁省,210000,抚顺市,210400,-4.54153579281
384,20020120,辽宁省,210000,抚顺市,210400,-5.22457644247
385,20020121,辽宁省,210000,抚顺市,210400,-9.77541498984
386,20020122,辽宁省,210000,抚顺市,210400,-12.5714827814
387,20020123,辽宁省,210000,抚顺市,210400,-12.8344222653
388,20020124,辽宁省,210000,抚顺市,210400,-12.9310301196
389,20020125,辽宁省,210000,抚顺市,210400,-8.07823490327
390,20020126,辽宁省,210000,抚顺市,210400,-6.71184359827
391,20020127,辽宁省,210000,抚顺市,210400,-11.2649739788
392,20020128,辽宁省,210000,抚顺市,210400,-12.2320709229
393,20020129,辽宁省,210000,抚顺市,210400,-6.87266371327
394,20020130,辽宁省,210000,抚顺市,210400,-10.5734293845
395,20020131,辽宁省,210000,抚顺市,210400,-7.6155295372
396,20020201,辽宁省,210000,抚顺市,210400,-5.38676875637
397,20020202,辽宁省,210000,抚顺市,210400,-4.45778870583
398,20020203,辽宁省,210000,抚顺市,210400,-0.666251456125
399,20020204,辽宁省,210000,抚顺市,210400,-0.575707158735
400,20020205,辽宁省,210000,抚顺市,210400,-1.49821288715
401,20020206,辽宁省,210000,抚顺市,210400,-2.8475171866
402,20020207,辽宁省,210000,抚顺市,210400,0.116646182062
403,20020208,辽宁省,210000,抚顺市,210400,-9.80139280135
404,20020209,辽宁省,210000,抚顺市,210400,-12.8603884482
405,20020210,辽宁省,210000,抚顺市,210400,-9.18991668763
406,20020211,辽宁省,210000,抚顺市,210400,-10.0322807066
407,20020212,辽宁省,210000,抚顺市,210400,-9.71394049737
408,20020213,辽宁省,210000,抚顺市,210400,-7.9459300195
409,20020214,辽宁省,210000,抚顺市,210400,-6.78074712138
410,20020215,辽宁省,210000,抚顺市,210400,-1.46818597585
411,20020216,辽宁省,210000,抚顺市,210400,1.95119611294
412,20020217,辽宁省,210000,抚顺市,210400,-7.62262416655
413,20020218,辽宁省,210000,抚顺市,210400,-10.1359204631
414,20020219,辽宁省,210000,抚顺市,210400,-3.95056069666
415,20020220,辽宁省,210000,抚顺市,210400,2.41408753395
416,20020221,辽宁省,210000,抚顺市,210400,0.226158025224
417,20020222,辽宁省,210000,抚顺市,210400,-0.674680868464
418,20020223,辽宁省,210000,抚顺市,210400,-1.31255969309
419,20020224,辽宁省,210000,抚顺市,210400,2.36808733786
420,20020225,辽宁省,210000,抚顺市,210400,1.88051120697
421,20020226,辽宁省,210000,抚顺市,210400,2.54448407696
422,20020227,辽宁省,210000,抚顺市,210400,2.47200844365
423,20020228,辽宁省,210000,抚顺市,210400,1.58698308083
424,20020301,辽宁省,210000,抚顺市,210400,-2.76640640151
425,20020302,辽宁省,210000,抚顺市,210400,-6.58679040786
426,20020303,辽宁省,210000,抚顺市,210400,-3.14148637556
427,20020304,辽宁省,210000,抚顺市,210400,1.6512503201
428,20020305,辽宁省,210000,抚顺市,210400,-0.0242100739626
429,20020306,辽宁省,210000,抚顺市,210400,-5.74416480526
430,20020307,辽宁省,210000,抚顺市,210400,-2.76868899984
431,20020308,辽宁省,210000,抚顺市,210400,5.04321349821
432,20020309,辽宁省,210000,抚顺市,210400,3.94954062277
433,20020310,辽宁省,210000,抚顺市,210400,2.63730772849
434,20020311,辽宁省,210000,抚顺市,210400,7.29690079535
435,20020312,辽宁省,210000,抚顺市,210400,6.89451846769
436,20020313,辽宁省,210000,抚顺市,210400,9.36166061894
437,20020314,辽宁省,210000,抚顺市,210400,7.89696455002
438,20020315,辽宁省,210000,抚顺市,210400,5.47160408574
439,20020316,辽宁省,210000,抚顺市,210400,5.81400669775
440,20020317,辽宁省,210000,抚顺市,210400,3.81377770055
441,20020318,辽宁省,210000,抚顺市,210400,5.1229203901
442,20020319,辽宁省,210000,抚顺市,210400,3.39786446479
443,20020320,辽宁省,210000,抚顺市,210400,3.51646581773
444,20020321,辽宁省,210000,抚顺市,210400,3.30415031987
445,20020322,辽宁省,210000,抚顺市,210400,-0.800383987446
