,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,晋中市,140700,-1.9903193367
1,20010102,山西省,140000,晋中市,140700,-1.69853929638
2,20010103,山西省,140000,晋中市,140700,-3.99510783927
3,20010104,山西省,140000,晋中市,140700,-4.81114148539
4,20010105,山西省,140000,晋中市,140700,-2.56550065307
5,20010106,山西省,140000,晋中市,140700,-4.16520950406
6,20010107,山西省,140000,晋中市,140700,-3.21388411522
7,20010108,山西省,140000,晋中市,140700,-4.67296738957
8,20010109,山西省,140000,晋中市,140700,-7.59999357268
9,20010110,山西省,140000,晋中市,140700,-5.25632514233
10,20010111,山西省,140000,晋中市,140700,-5.00930696466
11,20010112,山西省,140000,晋中市,140700,-4.10907788609
12,20010113,山西省,140000,晋中市,140700,-8.45350385267
13,20010114,山西省,140000,晋中市,140700,-11.0220982529
14,20010115,山西省,140000,晋中市,140700,-10.0402400882
15,20010116,山西省,140000,晋中市,140700,-7.87513447917
16,20010117,山西省,140000,晋中市,140700,-5.09183802161
17,20010118,山西省,140000,晋中市,140700,-3.55987415757
18,20010119,山西省,140000,晋中市,140700,-4.14576594497
19,20010120,山西省,140000,晋中市,140700,-2.5633515272
20,20010121,山西省,140000,晋中市,140700,-2.34066398199
21,20010122,山西省,140000,晋中市,140700,-2.99231717753
22,20010123,山西省,140000,晋中市,140700,-4.97201844149
23,20010124,山西省,140000,晋中市,140700,-3.73583462626
24,20010125,山西省,140000,晋中市,140700,-5.40419438828
25,20010126,山西省,140000,晋中市,140700,-4.91967717437
26,20010127,山西省,140000,晋中市,140700,-4.07033955704
27,20010128,山西省,140000,晋中市,140700,-6.32783878681
28,20010129,山西省,140000,晋中市,140700,-3.55305030214
29,20010130,山西省,140000,晋中市,140700,-1.39266786174
30,20010131,山西省,140000,晋中市,140700,-2.69141090904
31,20010201,山西省,140000,晋中市,140700,-3.53157865724
32,20010202,山西省,140000,晋中市,140700,-1.56784446416
33,20010203,山西省,140000,晋中市,140700,-1.32849464687
34,20010204,山西省,140000,晋中市,140700,-0.810862991352
35,20010205,山西省,140000,晋中市,140700,-1.93588228093
36,20010206,山西省,140000,晋中市,140700,-4.50911189512
37,20010207,山西省,140000,晋中市,140700,-6.03945636749
38,20010208,山西省,140000,晋中市,140700,-3.08363815102
39,20010209,山西省,140000,晋中市,140700,-1.86040371838
40,20010210,山西省,140000,晋中市,140700,-1.79058422599
41,20010211,山西省,140000,晋中市,140700,-4.36864694329
42,20010212,山西省,140000,晋中市,140700,-2.90898882788
43,20010213,山西省,140000,晋中市,140700,-1.77089372208
44,20010214,山西省,140000,晋中市,140700,2.03130241951
45,20010215,山西省,140000,晋中市,140700,-1.61652855384
46,20010216,山西省,140000,晋中市,140700,-0.0787721721152
47,20010217,山西省,140000,晋中市,140700,1.77672968805
48,20010218,山西省,140000,晋中市,140700,5.22809783802
49,20010219,山西省,140000,晋中市,140700,6.11630675959
50,20010220,山西省,140000,晋中市,140700,3.8521739494
51,20010221,山西省,140000,晋中市,140700,4.15150835348
52,20010222,山西省,140000,晋中市,140700,5.50393235406
53,20010223,山西省,140000,晋中市,140700,-0.630543130082
54,20010224,山西省,140000,晋中市,140700,-2.12899802729
55,20010225,山西省,140000,晋中市,140700,1.46151110474
56,20010226,山西省,140000,晋中市,140700,1.26796011246
57,20010227,山西省,140000,晋中市,140700,3.10912196026
58,20010228,山西省,140000,晋中市,140700,5.32696638551
59,20010301,山西省,140000,晋中市,140700,8.02050403107
60,20010302,山西省,140000,晋中市,140700,5.82126298062
61,20010303,山西省,140000,晋中市,140700,1.06015264867
62,20010304,山西省,140000,晋中市,140700,5.24672850897
63,20010305,山西省,140000,晋中市,140700,7.05761208645
64,20010306,山西省,140000,晋中市,140700,-1.17204579884
65,20010307,山西省,140000,晋中市,140700,-2.79249972521
66,20010308,山西省,140000,晋中市,140700,-0.766122841558
67,20010309,山西省,140000,晋中市,140700,5.54738951838
68,20010310,山西省,140000,晋中市,140700,4.80702863183
69,20010311,山西省,140000,晋中市,140700,5.95591979249
70,20010312,山西省,140000,晋中市,140700,9.16378974915
71,20010313,山西省,140000,晋中市,140700,12.1840606734
72,20010314,山西省,140000,晋中市,140700,5.74549604017
73,20010315,山西省,140000,晋中市,140700,6.19781198058
74,20010316,山西省,140000,晋中市,140700,3.95121683631
75,20010317,山西省,140000,晋中市,140700,6.89070901205
76,20010318,山西省,140000,晋中市,140700,8.68902851814
77,20010319,山西省,140000,晋中市,140700,12.8402807324
78,20010320,山西省,140000,晋中市,140700,12.1107623078
79,20010321,山西省,140000,晋中市,140700,13.6800482994
80,20010322,山西省,140000,晋中市,140700,9.20715865424
81,20010323,山西省,140000,晋中市,140700,12.6992079047
82,20010324,山西省,140000,晋中市,140700,13.165325808
83,20010325,山西省,140000,晋中市,140700,8.6129198407
84,20010326,山西省,140000,晋中市,140700,6.34967146363
85,20010327,山西省,140000,晋中市,140700,0.11950708949
86,20010328,山西省,140000,晋中市,140700,1.96147310023
87,20010329,山西省,140000,晋中市,140700,9.57963964551
88,20010330,山西省,140000,晋中市,140700,7.6035369496
89,20010331,山西省,140000,晋中市,140700,8.12855672836
90,20010401,山西省,140000,晋中市,140700,13.370603761
91,20010402,山西省,140000,晋中市,140700,14.0557480967
92,20010403,山西省,140000,晋中市,140700,11.6486833927
93,20010404,山西省,140000,晋中市,140700,13.4987741958
94,20010405,山西省,140000,晋中市,140700,8.31112105347
95,20010406,山西省,140000,晋中市,140700,9.55080300708
96,20010407,山西省,140000,晋中市,140700,14.3075094223
97,20010408,山西省,140000,晋中市,140700,15.2629533147
98,20010409,山西省,140000,晋中市,140700,3.58357183878
99,20010410,山西省,140000,晋中市,140700,4.7406599688
100,20010411,山西省,140000,晋中市,140700,7.0897872947
101,20010412,山西省,140000,晋中市,140700,11.5146122422
102,20010413,山西省,140000,晋中市,140700,9.61633005808
103,20010414,山西省,140000,晋中市,140700,12.0996608069
104,20010415,山西省,140000,晋中市,140700,15.358403716
105,20010416,山西省,140000,晋中市,140700,16.8612066757
106,20010417,山西省,140000,晋中市,140700,18.8334199772
107,20010418,山西省,140000,晋中市,140700,20.9100597736
108,20010419,山西省,140000,晋中市,140700,13.8005937754
109,20010420,山西省,140000,晋中市,140700,9.94562302079
110,20010421,山西省,140000,晋中市,140700,13.012244779
111,20010422,山西省,140000,晋中市,140700,14.9353880993
112,20010423,山西省,140000,晋中市,140700,6.93984385424
113,20010424,山西省,140000,晋中市,140700,10.4888692235
114,20010425,山西省,140000,晋中市,140700,12.0591531133
115,20010426,山西省,140000,晋中市,140700,14.2154048432
116,20010427,山西省,140000,晋中市,140700,16.6791787258
117,20010428,山西省,140000,晋中市,140700,16.7005094706
118,20010429,山西省,140000,晋中市,140700,13.9157666273
119,20010430,山西省,140000,晋中市,140700,15.0267603231
120,20010501,山西省,140000,晋中市,140700,18.0271816697
121,20010502,山西省,140000,晋中市,140700,16.9265873488
122,20010503,山西省,140000,晋中市,140700,16.992828724
123,20010504,山西省,140000,晋中市,140700,17.8238475267
124,20010505,山西省,140000,晋中市,140700,19.5340595689
125,20010506,山西省,140000,晋中市,140700,17.9361047079
126,20010507,山西省,140000,晋中市,140700,18.7904732283
127,20010508,山西省,140000,晋中市,140700,15.9329076811
128,20010509,山西省,140000,晋中市,140700,17.7636361677
129,20010510,山西省,140000,晋中市,140700,18.6988300501
130,20010511,山西省,140000,晋中市,140700,19.4305340967
131,20010512,山西省,140000,晋中市,140700,19.7330674016
132,20010513,山西省,140000,晋中市,140700,23.353562599
133,20010514,山西省,140000,晋中市,140700,19.8929730349
134,20010515,山西省,140000,晋中市,140700,19.6112556901
135,20010516,山西省,140000,晋中市,140700,19.3476234259
136,20010517,山西省,140000,晋中市,140700,21.5753461705
137,20010518,山西省,140000,晋中市,140700,22.9672591631
138,20010519,山西省,140000,晋中市,140700,24.6682596872
139,20010520,山西省,140000,晋中市,140700,24.5794562406
140,20010521,山西省,140000,晋中市,140700,22.8425934814
141,20010522,山西省,140000,晋中市,140700,24.7681931784
142,20010523,山西省,140000,晋中市,140700,25.6831444585
143,20010524,山西省,140000,晋中市,140700,18.4874283547
144,20010525,山西省,140000,晋中市,140700,21.4758509259
145,20010526,山西省,140000,晋中市,140700,20.7210853488
146,20010527,山西省,140000,晋中市,140700,21.1457198831
147,20010528,山西省,140000,晋中市,140700,23.0353917854
148,20010529,山西省,140000,晋中市,140700,21.446117756
149,20010530,山西省,140000,晋中市,140700,14.5280742645
150,20010531,山西省,140000,晋中市,140700,20.0435929853
151,20010601,山西省,140000,晋中市,140700,22.7464451014
152,20010602,山西省,140000,晋中市,140700,23.6831633102
153,20010603,山西省,140000,晋中市,140700,24.7109915268
154,20010604,山西省,140000,晋中市,140700,22.4583630673
155,20010605,山西省,140000,晋中市,140700,24.6938882429
156,20010606,山西省,140000,晋中市,140700,26.9174538546
157,20010607,山西省,140000,晋中市,140700,23.2612156092
158,20010608,山西省,140000,晋中市,140700,24.9764075612
159,20010609,山西省,140000,晋中市,140700,22.788617866
160,20010610,山西省,140000,晋中市,140700,24.9403175088
161,20010611,山西省,140000,晋中市,140700,21.9479577708
162,20010612,山西省,140000,晋中市,140700,19.854293912
163,20010613,山西省,140000,晋中市,140700,22.6823274479
164,20010614,山西省,140000,晋中市,140700,21.8421633964
165,20010615,山西省,140000,晋中市,140700,23.6570375132
166,20010616,山西省,140000,晋中市,140700,24.0424322528
167,20010617,山西省,140000,晋中市,140700,24.464006424
168,20010618,山西省,140000,晋中市,140700,22.5442971961
169,20010619,山西省,140000,晋中市,140700,25.0521006473
170,20010620,山西省,140000,晋中市,140700,23.8399344156
171,20010621,山西省,140000,晋中市,140700,22.6342871023
172,20010622,山西省,140000,晋中市,140700,20.7755326559
173,20010623,山西省,140000,晋中市,140700,22.2761444713
174,20010624,山西省,140000,晋中市,140700,21.1392513985
175,20010625,山西省,140000,晋中市,140700,24.0543767352
176,20010626,山西省,140000,晋中市,140700,27.2665934008
177,20010627,山西省,140000,晋中市,140700,29.0139282581
178,20010628,山西省,140000,晋中市,140700,23.7715348532
179,20010629,山西省,140000,晋中市,140700,24.1379252145
180,20010630,山西省,140000,晋中市,140700,27.7977953179
181,20010701,山西省,140000,晋中市,140700,29.3605789362
182,20010702,山西省,140000,晋中市,140700,26.5564833353
183,20010703,山西省,140000,晋中市,140700,20.4618691733
184,20010704,山西省,140000,晋中市,140700,26.0117622198
185,20010705,山西省,140000,晋中市,140700,28.3882532785
186,20010706,山西省,140000,晋中市,140700,26.9664089735
187,20010707,山西省,140000,晋中市,140700,27.5499532389
188,20010708,山西省,140000,晋中市,140700,29.7314231784
189,20010709,山西省,140000,晋中市,140700,25.2238486978
190,20010710,山西省,140000,晋中市,140700,25.6091447431
191,20010711,山西省,140000,晋中市,140700,26.957053739
192,20010712,山西省,140000,晋中市,140700,27.8535102578
193,20010713,山西省,140000,晋中市,140700,25.9678488443
194,20010714,山西省,140000,晋中市,140700,26.0576765371
195,20010715,山西省,140000,晋中市,140700,27.0207830473
196,20010716,山西省,140000,晋中市,140700,27.3799413637
197,20010717,山西省,140000,晋中市,140700,26.9497597273
198,20010718,山西省,140000,晋中市,140700,27.1353500721
199,20010719,山西省,140000,晋中市,140700,25.6912287779
200,20010720,山西省,140000,晋中市,140700,20.1647061636
201,20010721,山西省,140000,晋中市,140700,22.9555109157
202,20010722,山西省,140000,晋中市,140700,25.9449253526
203,20010723,山西省,140000,晋中市,140700,26.4476938469
204,20010724,山西省,140000,晋中市,140700,23.4735155771
205,20010725,山西省,140000,晋中市,140700,25.0623722964
206,20010726,山西省,140000,晋中市,140700,23.2657292388
207,20010727,山西省,140000,晋中市,140700,18.1104944362
208,20010728,山西省,140000,晋中市,140700,23.7659711172
209,20010729,山西省,140000,晋中市,140700,22.798042874
210,20010730,山西省,140000,晋中市,140700,22.7173819431
211,20010731,山西省,140000,晋中市,140700,23.2575237363
212,20010801,山西省,140000,晋中市,140700,23.3767647411
213,20010802,山西省,140000,晋中市,140700,22.1260276617
214,20010803,山西省,140000,晋中市,140700,23.5109758155
215,20010804,山西省,140000,晋中市,140700,24.5940774873
216,20010805,山西省,140000,晋中市,140700,25.7256699052
217,20010806,山西省,140000,晋中市,140700,26.0939872209
218,20010807,山西省,140000,晋中市,140700,24.8789113954
219,20010808,山西省,140000,晋中市,140700,23.5079363889
220,20010809,山西省,140000,晋中市,140700,23.1793333542
221,20010810,山西省,140000,晋中市,140700,21.6360609809
222,20010811,山西省,140000,晋中市,140700,20.5378140294
223,20010812,山西省,140000,晋中市,140700,22.3620994923
224,20010813,山西省,140000,晋中市,140700,22.4549977059
225,20010814,山西省,140000,晋中市,140700,21.8709224878
226,20010815,山西省,140000,晋中市,140700,21.4137660182
227,20010816,山西省,140000,晋中市,140700,21.1660978628
228,20010817,山西省,140000,晋中市,140700,22.568016895
229,20010818,山西省,140000,晋中市,140700,21.9003293237
230,20010819,山西省,140000,晋中市,140700,19.5795561768
231,20010820,山西省,140000,晋中市,140700,22.2146831779
232,20010821,山西省,140000,晋中市,140700,23.9963260473
233,20010822,山西省,140000,晋中市,140700,24.4766419876
234,20010823,山西省,140000,晋中市,140700,23.6489762151
235,20010824,山西省,140000,晋中市,140700,23.1904014321
236,20010825,山西省,140000,晋中市,140700,21.606543918
237,20010826,山西省,140000,晋中市,140700,20.9745235887
238,20010827,山西省,140000,晋中市,140700,19.8983549517
239,20010828,山西省,140000,晋中市,140700,18.5802830097
240,20010829,山西省,140000,晋中市,140700,18.9702622613
241,20010830,山西省,140000,晋中市,140700,20.0475911429
242,20010831,山西省,140000,晋中市,140700,20.657560038
243,20010901,山西省,140000,晋中市,140700,20.8319150348
244,20010902,山西省,140000,晋中市,140700,21.5091679152
245,20010903,山西省,140000,晋中市,140700,19.5747330688
246,20010904,山西省,140000,晋中市,140700,19.9371321035
247,20010905,山西省,140000,晋中市,140700,20.6891609902
248,20010906,山西省,140000,晋中市,140700,21.0928185042
